L 1048.6000, 951.6000, 13.3000,  1078.7000, 951.6000, 13.3000,  0, 0, 0
L 1048.5000, 922.3000, 13.3000,  1078.7000, 922.3000, 13.3000,  0, 0, 0
L 5.2000, -925.1000, 156.3000,  -89.3000, -892.5000, 140.3000,  150, 150, 150
L -231.3000, -792.9000, 127.7000,  -231.3000, -789.4000, 127.7000,  0, 0, 0
L -222.0000, -793.4000, 127.7000,  -222.0000, -789.4000, 127.7000,  0, 0, 0
L -479.8000, -910.0000, 52.3000,  -479.8000, -904.6000, 52.3000,  0, 0, 0
L -489.7000, -910.0000, 52.3000,  -489.7000, -904.6000, 52.3000,  0, 0, 0
L -325.0000, -1346.7000, 146.3000,  -325.0000, -1351.9000, 146.3000,  0, 0, 0
L -336.3000, -1346.2000, 146.3000,  -336.3000, -1351.9000, 146.3000,  0, 0, 0
L 181.5000, 2112.5000, -19.0000,  247.8000, 2104.6001, -18.9000,  199, 21, 133
L 247.8000, 2104.6001, -18.9000,  247.8000, 2140.3999, -18.9000,  0, 0, 0
L 181.5000, 2112.5000, -19.0000,  181.5000, 2140.3999, -19.0000,  0, 0, 0
L 247.8000, 2068.7000, -18.9000,  247.8000, 2104.6001, -18.9000,  0, 0, 0
L 181.5000, 2084.5000, -19.0000,  181.5000, 2112.5000, -19.0000,  0, 0, 0
L -1008.8000, 109.3000, -10.2000,  -996.7000, 107.9000, -10.2000,  255, 0, 0
L -1020.5000, 98.8000, -10.6000,  -1008.8000, 109.3000, -10.2000,  255, 0, 0
L -1022.9000, 84.1000, -10.3000,  -1020.5000, 98.8000, -10.6000,  255, 0, 0
L -1008.0000, 89.1000, -11.0000,  -1022.9000, 84.1000, -10.3000,  255, 0, 0
L -909.5000, 83.3000, -11.0000,  -1008.0000, 89.1000, -11.0000,  255, 0, 0
L -891.9000, 97.8000, -11.2000,  -909.5000, 83.3000, -11.0000,  255, 0, 0
L -891.5000, 117.4000, -11.4000,  -891.9000, 97.8000, -11.2000,  255, 0, 0
L -996.7000, 107.9000, -10.3000,  -891.5000, 117.4000, -11.4000,  255, 0, 0
L -999.5000, -616.5000, 46.4000,  -1003.1000, -601.3000, 42.7000,  0, 0, 0
L -1022.4000, -621.2000, 44.6000,  -999.5000, -616.5000, 46.4000,  0, 0, 0
L -1024.5000, -602.5000, 41.5000,  -1022.4000, -621.2000, 44.6000,  0, 0, 0
L -1004.5000, -597.7000, 41.9000,  -1024.5000, -602.5000, 41.5000,  0, 0, 0
L -1001.9000, -606.7000, 44.0000,  -1004.5000, -597.7000, 41.9000,  0, 0, 0
L 525.1000, -869.2000, 89.9000,  524.2000, -868.9000, 90.0000,  0, 0, 0
L 542.8000, -881.4000, 91.7000,  523.8000, -868.3000, 89.9000,  0, 0, 0
L 535.6000, -912.0000, 105.1000,  542.8000, -881.4000, 91.7000,  0, 0, 0
L 506.5000, -898.8000, 102.8000,  535.6000, -912.0000, 105.1000,  0, 0, 0
L 513.7000, -887.4000, 97.8000,  506.5000, -898.8000, 102.8000,  0, 0, 0
L 523.8000, -868.3000, 89.9000,  513.7000, -887.4000, 97.8000,  0, 0, 0
L 702.2000, -211.2000, 60.5000,  670.4000, -223.5000, 54.8000,  0, 0, 0
L 689.4000, -175.1000, 72.4000,  702.2000, -211.2000, 60.5000,  0, 0, 0
L 659.1000, -184.0000, 61.9000,  689.4000, -175.1000, 72.4000,  0, 0, 0
L 670.4000, -223.5000, 55.1000,  659.1000, -184.0000, 61.9000,  0, 0, 0
L -98.0000, -128.0000, 36.3000,  -75.7000, -151.3000, 12.9000,  0, 0, 0
L -101.4000, -121.1000, 42.0000,  -98.0000, -128.0000, 36.3000,  0, 0, 0
L -101.4000, -121.1000, 42.0000,  -101.2000, -121.1000, 41.9000,  0, 0, 0
L -112.2000, -126.5000, 43.3000,  -101.4000, -121.1000, 42.0000,  0, 0, 0
L -133.5000, -132.0000, 46.2000,  -112.2000, -126.5000, 43.3000,  0, 0, 0
L -111.0000, -172.2000, 14.7000,  -133.5000, -132.0000, 45.4000,  0, 0, 0
L -75.7000, -151.3000, 12.9000,  -111.0000, -172.2000, 14.7000,  0, 0, 0
L 275.5000, -379.5000, 11.1000,  273.2000, -369.1000, 8.8000,  0, 0, 0
L 278.3000, -386.7000, 12.8000,  275.5000, -379.5000, 11.1000,  0, 0, 0
L 280.3000, -393.4000, 14.3000,  278.3000, -386.7000, 12.8000,  0, 0, 0
L 286.8000, -392.2000, 14.6000,  280.3000, -393.4000, 14.3000,  0, 0, 0
L 305.5000, -385.8000, 15.5000,  286.8000, -392.2000, 14.6000,  0, 0, 0
L 304.3000, -379.8000, 14.1000,  305.5000, -385.8000, 15.5000,  0, 0, 0
L 291.8000, -355.6000, 7.8000,  304.3000, -379.8000, 14.1000,  0, 0, 0
L 273.2000, -369.1000, 8.6000,  291.8000, -355.6000, 7.8000,  0, 0, 0
L 114.2000, -416.7000, 14.0000,  114.9000, -407.7000, 9.7000,  0, 0, 0
L 126.6000, -432.3000, 16.9000,  114.2000, -416.7000, 14.0000,  0, 0, 0
L 148.7000, -421.4000, 13.5000,  126.6000, -432.3000, 16.9000,  0, 0, 0
L 134.3000, -393.8000, 8.7000,  148.7000, -421.4000, 13.5000,  0, 0, 0
L 114.9000, -407.7000, 9.7000,  134.3000, -393.8000, 8.7000,  0, 0, 0
L -530.2000, -919.9000, 52.3000,  -479.8000, -920.0000, 52.3000,  0, 0, 0
L -530.6000, -930.0000, 52.3000,  -530.2000, -919.9000, 52.3000,  0, 0, 0
